breath input_files/MacBeth.txt:7
stayd input_files/MacBeth.txt:1
eaten input_files/MacBeth.txt:2
insane input_files/MacBeth.txt:1
root input_files/MacBeth.txt:5
takes input_files/MacBeth.txt:6
reason input_files/MacBeth.txt:5
prisoner input_files/MacBeth.txt:1
children input_files/MacBeth.txt:6
went input_files/MacBeth.txt:4
selfsame input_files/MacBeth.txt:2
tune input_files/MacBeth.txt:2
whos input_files/MacBeth.txt:5
happily input_files/MacBeth.txt:1
receivd input_files/MacBeth.txt:3
news input_files/MacBeth.txt:4
success input_files/MacBeth.txt:4
reads input_files/MacBeth.txt:1
personal input_files/MacBeth.txt:1
venture input_files/MacBeth.txt:1
fight input_files/MacBeth.txt:12
wonders input_files/MacBeth.txt:1
praises input_files/MacBeth.txt:2
contend input_files/MacBeth.txt:3
silencd input_files/MacBeth.txt:1
viewing input_files/MacBeth.txt:2
oer input_files/MacBeth.txt:4
finds input_files/MacBeth.txt:2
stout input_files/MacBeth.txt:1
ranks input_files/MacBeth.txt:1
nothing input_files/MacBeth.txt:16
afeard input_files/MacBeth.txt:3
thyself input_files/MacBeth.txt:5
images input_files/MacBeth.txt:1
thick input_files/MacBeth.txt:4
tale input_files/MacBeth.txt:2
came input_files/MacBeth.txt:6
post input_files/MacBeth.txt:2
everyone input_files/MacBeth.txt:2
bear input_files/MacBeth.txt:10
kingdoms input_files/MacBeth.txt:2
defence input_files/MacBeth.txt:2
pourd input_files/MacBeth.txt:1
down input_files/MacBeth.txt:15
sent input_files/MacBeth.txt:5
thanks input_files/MacBeth.txt:9
only input_files/MacBeth.txt:14
herald input_files/MacBeth.txt:1
sight input_files/MacBeth.txt:8
pay input_files/MacBeth.txt:5
earnest input_files/MacBeth.txt:2
call input_files/MacBeth.txt:10
addition input_files/MacBeth.txt:3
devil input_files/MacBeth.txt:7
true input_files/MacBeth.txt:8
dress input_files/MacBeth.txt:1
borrowd input_files/MacBeth.txt:1
robes input_files/MacBeth.txt:2
was input_files/MacBeth.txt:47
heavy input_files/MacBeth.txt:4
judgement input_files/MacBeth.txt:2
bears input_files/MacBeth.txt:2
